,ID,Origin,Composition,Enthalpy (eV),Volume (A^3),SYMMETRY (N),Structure order,Average order,Quasientropy
0,18,Softmodemutation,C:8,-1240.293,85.232,C2/m(12),3.506,3.506,0.000
1,162,Heredity,C:8,-1240.290,85.841,R-3m(166),3.545,3.545,0.000
2,95,Heredity,C:8,-1240.286,84.189,C2/m(12),2.999,2.999,0.000
3,208,Heredity,C:8,-1240.274,79.334,C2/m(12),3.024,3.025,0.001
4,58,Softmodemutation,C:8,-1240.272,79.506,C2/m(12),2.881,2.881,0.000
5,168,Softmodemutation,C:8,-1240.270,78.874,C2/m(12),2.900,2.904,0.001
6,108,Heredity,C:8,-1240.270,79.254,C2/m(12),2.863,2.863,0.000
7,198,Heredity,C:8,-1240.270,79.345,P-1(2),2.867,2.867,0.000
8,68,Heredity,C:8,-1240.268,79.731,Fmmm(69),2.986,2.986,0.000
9,63,Heredity,C:8,-1240.268,79.759,C2/m(12),2.875,2.876,0.000
10,79,Softmodemutation,C:8,-1240.268,79.702,C2/m(12),2.944,2.944,0.000
11,163,Heredity,C:8,-1240.268,78.966,R-3m(166),3.139,3.139,0.000
12,93,Heredity,C:8,-1240.267,79.654,C2/m(12),2.951,2.951,0.000
13,175,Softmodemutation,C:8,-1240.265,79.325,C2/m(12),2.852,2.852,0.000
14,125,Softmodemutation,C:8,-1240.265,79.214,C2/m(12),2.871,2.871,0.000
15,109,Heredity,C:8,-1240.262,83.134,P-1(2),2.924,2.924,0.000
16,100,Softmodemutation,C:8,-1240.261,82.728,C2/m(12),2.931,2.931,0.000
17,181,Heredity,C:8,-1240.254,84.041,P6/mmm(191),3.346,3.346,0.000
18,81,Softmodemutation,C:8,-1240.250,83.326,C2/m(12),3.167,3.167,0.000
19,150,Softmodemutation,C:8,-1240.248,78.616,R-3m(166),3.133,3.135,0.000
